freq,unit,tra_meas,tra_cov,schedule,geo\TIME_PERIOD	2024-01 	2024-02 	2024-03 	2024-04 	2024-05 	2024-06 	2024-07 	2024-08 	2024-09 	2024-10 	2024-11 	2024-12 
M,PAS,PAS_BRD,TOTAL,TOT,AT	2229616 	2324203 	2683476 	2827321 	3092355 	3307560 	3635926 	3664680 	3370448 	3175196 	2435645 	2700687 
M,PAS,PAS_BRD,TOTAL,TOT,BE	2113961 	2230363 	2512489 	2908857 	3151858 	3092952 	3527631 	3497979 	3192403 	3087598 	2537932 	2612367 
M,PAS,PAS_BRD,TOTAL,TOT,BG	608543 	581925 	691036 	737474 	856450 	1161771 	1471229 	1513654 	1180490 	846012 	641285 	687382 
M,PAS,PAS_BRD,TOTAL,TOT,CH	3685231 	3975855 	4531928 	4818540 	4989783 	4995032 	5572810 	5579016 	5212505 	5267575 	3769258 	4422619 
M,PAS,PAS_BRD,TOTAL,TOT,CY	530569 	509523 	685571 	974750 	1160402 	1316619 	1516286 	1630638 	1431473 	1356856 	729393 	667091 
M,PAS,PAS_BRD,TOTAL,TOT,CZ	869789 	979695 	1204405 	1284474 	1440006 	1862583 	2134479 	2105685 	1871703 	1545095 	1198413 	1363379 
M,PAS,PAS_BRD,TOTAL,TOT,DE	11452441 	11426285 	14130802 	16353547 	18653005 	18858441 	20121631 	20671829 	19947957 	20074786 	14147115 	13874296 
M,PAS,PAS_BRD,TOTAL,TOT,DK	1961446 	2116376 	2552957 	2833829 	3221387 	3361714 	3809073 	3497197 	3348891 	3264122 	2465358 	2456651 
M,PAS,PAS_BRD,TOTAL,TOT,EE	208981 	200411 	243520 	296711 	328544 	328256 	341139 	349002 	331328 	335846 	248048 	260162 
M,PAS,PAS_BRD,TOTAL,TOT,EL	1902551 	1883677 	2432378 	4007675 	6945212 	10471854 	11319606 	11061414 	9303259 	6703272 	2649778 	2518138 
M,PAS,PAS_BRD,TOTAL,TOT,ES	15404071 	15831365 	18914621 	21568798 	23946333 	24951259 	27066235 	27337909 	25228382 	24065972 	17876543 	17884826 
M,PAS,PAS_BRD,TOTAL,TOT,FI	1304213 	1299007 	1446128 	1339603 	1475102 	1612276 	1653078 	1554338 	1509762 	1553808 	1376583 	1725871 
M,PAS,PAS_BRD,TOTAL,TOT,FR	10557461 	10717194 	12329376 	14217748 	15490984 	15600449 	16927509 	17517865 	15378359 	14975266 	11391681 	12667994 
M,PAS,PAS_BRD,TOTAL,TOT,HR	271269 	267720 	366083 	874502 	1320443 	1715862 	2151183 	2141008 	1699889 	1105718 	389216 	362576 
M,PAS,PAS_BRD,TOTAL,TOT,HU	1114972 	1085142 	1303086 	1409391 	1484783 	1584656 	1774127 	1799402 	1688456 	1636101 	1407104 	1496939 
M,PAS,PAS_BRD,TOTAL,TOT,IE	2521886 	2527893 	3152238 	3373004 	3851634 	3974539 	4179854 	4331552 	3817674 	3539567 	2773353 	2823352 
M,PAS,PAS_BRD,TOTAL,TOT,IS	474882 	522294 	637668 	586830 	713678 	907835 	1060887 	1052266 	822312 	748075 	558098 	581244 
M,PAS,PAS_BRD,TOTAL,TOT,IT	10480850 	10489859 	12613728 	15531009 	16941834 	18004633 	19658402 	19895702 	18445588 	16980262 	12064298 	12370842 
M,PAS,PAS_BRD,TOTAL,TOT,LT	396579 	371772 	446224 	538953 	635907 	652021 	645260 	663236 	632390 	646493 	487456 	475476 
M,PAS,PAS_BRD,TOTAL,TOT,LU	288403 	310118 	381379 	448747 	507056 	475740 	507711 	526385 	492404 	474970 	358681 	376612 
M,PAS,PAS_BRD,TOTAL,TOT,LV	419349 	397313 	505796 	546814 	616406 	663914 	748006 	739054 	663658 	666269 	550662 	583993 
